frame,clase,conf,cx,cy,cz,dx,dy,dz,yaw_deg,n_pts,marco
69,silla,0.948,-0.715,5.239,-0.259,0.381,0.061,0.096,-61.9,236,mundo
69,silla,0.488,-1.721,2.698,-0.466,0.515,0.429,0.4,-85.2,1522,mundo
69,mesa,0.44,-1.716,2.056,0.413,0.488,0.149,0.281,-79.1,2602,mundo
72,ventana,0.991,0.792,5.741,0.82,0.318,0.107,0.149,87.6,258,mundo
72,silla,0.93,-1.295,5.178,0.0,0.433,0.152,0.086,-35.1,361,mundo
72,silla,0.49,-1.693,2.689,-0.428,0.415,0.47,0.446,-117.8,1611,mundo
72,mesa,0.476,-1.719,2.059,0.406,0.51,0.14,0.284,-79.6,2576,mundo
75,ventana,0.99,-0.623,5.42,0.615,0.266,0.137,0.137,169.0,271,mundo
75,silla,0.908,-1.253,5.159,0.095,0.305,0.105,0.095,-29.4,218,mundo
75,mesa,0.58,-1.713,2.054,0.398,0.51,0.148,0.299,-79.3,2640,mundo
75,silla,0.448,-1.624,3.1,-0.463,0.564,0.16,0.338,-86.0,1429,mundo
78,ventana,0.99,-0.629,5.413,0.589,0.36,0.195,0.206,154.9,375,mundo
78,silla,0.932,-1.32,5.209,-0.058,0.302,0.134,0.06,-48.6,261,mundo
78,silla,0.562,-1.642,3.094,-0.456,0.549,0.178,0.325,-90.6,1414,mundo
78,mesa,0.503,-1.713,2.07,0.397,0.507,0.148,0.293,-80.9,2422,mundo
81,ventana,0.99,0.764,5.741,1.01,0.586,0.11,0.171,80.8,439,mundo
81,silla,0.921,-1.319,5.241,-0.432,0.309,0.133,0.125,-163.5,355,mundo
81,silla,0.504,-1.631,3.097,-0.465,0.554,0.166,0.371,-90.6,1424,mundo
84,ventana,0.991,0.775,5.749,0.996,0.683,0.116,0.197,86.8,488,mundo
84,silla,0.901,-1.194,5.127,0.151,0.233,0.149,0.105,-31.5,300,mundo
84,silla,0.59,-1.383,2.517,-0.072,0.777,0.317,0.767,-86.0,3679,mundo
87,ventana,0.989,0.776,5.727,0.913,0.541,0.117,0.189,86.2,432,mundo
87,silla,0.889,-1.342,5.237,-0.41,0.249,0.09,0.111,-103.5,268,mundo
87,silla,0.546,-1.636,3.11,-0.483,0.534,0.111,0.423,-94.2,1041,mundo
90,ventana,0.99,0.771,5.724,0.924,0.563,0.118,0.149,90.5,420,mundo
90,silla,0.903,-1.163,5.097,0.17,0.315,0.144,0.11,-24.6,330,mundo
90,mesa,0.612,-1.654,2.08,0.379,0.515,0.265,0.346,-76.3,2731,mundo
90,silla,0.544,-1.382,2.347,0.131,0.437,0.245,0.357,-98.1,1581,mundo
93,ventana,0.991,-1.158,5.527,0.554,0.337,0.182,0.144,169.1,416,mundo
93,silla,0.938,-1.18,5.096,0.159,0.273,0.123,0.102,-23.8,275,mundo
93,mesa,0.783,-1.656,2.078,0.382,0.518,0.247,0.336,-78.2,2750,mundo
93,silla,0.62,-1.744,2.694,-0.411,0.419,0.385,0.292,-89.5,1199,mundo
96,ventana,0.976,0.766,5.715,1.033,0.737,0.123,0.359,79.7,534,mundo
96,silla,0.836,-1.195,5.09,0.146,0.236,0.117,0.092,-28.2,244,mundo
96,mesa,0.747,-1.679,2.098,0.385,0.543,0.21,0.33,-78.3,2642,mundo
96,silla,0.582,-1.376,2.515,-0.119,0.738,0.35,0.856,-82.2,3913,mundo
99,ventana,0.98,0.771,5.653,0.836,0.361,0.107,0.083,125.7,308,mundo
99,silla,0.84,-1.203,5.093,0.148,0.228,0.101,0.085,156.9,185,mundo
99,mesa,0.715,-1.698,2.11,0.39,0.587,0.178,0.301,-79.5,2584,mundo
99,silla,0.615,-1.346,2.312,0.166,0.486,0.22,0.284,-85.8,1668,mundo
102,ventana,0.978,0.74,5.683,1.144,0.86,0.132,0.596,78.7,662,mundo
102,silla,0.832,-1.306,5.195,-0.448,0.242,0.146,0.201,-137.3,300,mundo
102,mesa,0.739,-1.671,2.121,0.38,0.574,0.241,0.331,-79.3,2802,mundo
102,silla,0.662,-1.397,2.705,-0.183,0.788,0.392,0.318,-54.3,2615,mundo
105,ventana,0.988,-0.941,5.395,0.597,0.403,0.169,0.087,165.6,486,mundo
105,silla,0.858,-0.991,5.183,0.247,0.297,0.032,0.151,172.2,169,mundo
105,silla,0.734,-1.378,2.649,-0.161,0.417,0.268,0.66,-87.9,2209,mundo
105,mesa,0.629,-1.729,2.126,0.417,0.346,0.097,0.216,-85.4,1666,mundo
108,ventana,0.983,-1.143,5.492,0.55,0.332,0.16,0.149,175.1,356,mundo
108,silla,0.809,-1.22,5.128,0.136,0.208,0.097,0.061,159.3,173,mundo
108,mesa,0.772,-1.472,1.798,-0.075,0.757,0.221,0.694,-66.1,2898,mundo
108,silla,0.732,-1.466,2.877,-0.086,0.836,0.462,0.7,-51.8,3319,mundo
111,ventana,0.986,-0.92,5.406,0.61,0.49,0.151,0.08,167.4,477,mundo
111,silla,0.769,-0.998,5.204,0.243,0.369,0.035,0.174,170.9,243,mundo
111,silla,0.708,-1.593,2.933,-0.468,0.277,0.228,0.307,-120.6,1238,mundo
111,mesa,0.605,-1.463,1.787,-0.129,0.729,0.22,0.806,-66.4,3383,mundo
114,ventana,0.975,-0.969,5.4,0.607,0.421,0.125,0.073,159.1,343,mundo
114,silla,0.844,-1.241,5.147,0.065,0.269,0.139,0.05,-67.0,400,mundo
114,mesa,0.685,-1.448,1.772,-0.123,0.688,0.211,0.803,-67.9,3454,mundo
114,silla,0.536,-1.401,2.737,-0.203,0.765,0.327,0.326,-73.3,2507,mundo
117,ventana,0.977,-0.69,5.293,0.62,0.412,0.125,0.164,-174.0,398,mundo
117,silla,0.896,-1.273,5.169,0.044,0.35,0.138,0.059,-40.4,329,mundo
117,mesa,0.787,-1.458,1.792,-0.117,0.718,0.219,0.806,-67.9,3243,mundo
117,silla,0.683,-1.733,2.794,-0.495,0.511,0.388,0.492,-92.8,2103,mundo
120,ventana,0.964,0.763,5.77,1.181,0.497,0.076,0.125,115.4,298,mundo
120,silla,0.907,-0.934,5.258,0.23,0.508,0.175,0.297,171.1,757,mundo
120,mesa,0.766,-1.477,1.808,-0.017,0.749,0.223,0.603,-66.8,2975,mundo
120,silla,0.76,-1.684,2.614,-0.504,0.581,0.355,0.512,-97.8,2086,mundo
123,ventana,0.974,-0.948,5.389,0.616,0.37,0.118,0.061,167.9,301,mundo
123,silla,0.907,-1.003,5.218,0.209,0.378,0.194,0.158,169.3,355,mundo
123,mesa,0.656,-1.577,1.888,0.107,0.966,0.3,0.819,-56.8,4846,mundo
123,silla,0.571,-1.778,2.751,-0.404,0.371,0.141,0.288,145.5,1352,mundo
126,ventana,0.973,0.765,5.769,1.02,0.711,0.106,0.145,95.5,464,mundo
126,silla,0.95,-0.927,5.249,0.271,0.491,0.129,0.24,170.2,611,mundo
126,silla,0.692,-1.376,2.38,0.181,0.441,0.194,0.243,-104.8,1237,mundo
126,mesa,0.623,-1.472,1.801,0.096,0.752,0.217,0.362,-71.0,2411,mundo
129,ventana,0.98,0.731,5.81,1.4,0.503,0.101,0.471,64.7,352,mundo
129,silla,0.946,-0.954,5.253,0.27,0.476,0.093,0.244,171.1,435,mundo
129,silla,0.655,-1.476,2.806,-0.356,0.343,0.22,0.383,151.3,1292,mundo
132,ventana,0.98,0.711,5.745,1.196,1.068,0.169,0.345,104.4,813,mundo
132,silla,0.907,-0.901,5.262,0.276,0.442,0.167,0.224,167.2,537,mundo
132,silla,0.431,-1.776,2.752,-0.416,0.377,0.168,0.301,-50.5,1198,mundo
132,mesa,0.405,1.141,1.323,0.351,0.152,0.079,0.033,-161.9,297,mundo
135,ventana,0.982,0.77,5.75,0.99,0.643,0.101,0.145,97.2,534,mundo
