frame,clase,conf,cx,cy,cz,dx,dy,dz,yaw_deg,n_pts,marco
267,ventana,0.954,-0.852,5.381,0.593,0.804,0.182,0.206,172.9,1237,mundo
267,silla,0.917,-0.985,5.27,0.299,0.471,0.089,0.102,-177.5,472,mundo
267,silla,0.838,-1.361,2.223,0.087,0.277,0.28,0.178,-55.4,1501,mundo
270,ventana,0.951,-0.861,5.377,0.594,0.923,0.229,0.113,161.5,1350,mundo
270,silla,0.927,-1.371,2.243,0.112,0.199,0.2,0.34,-123.3,1463,mundo
270,silla,0.904,-0.778,5.169,0.158,0.268,0.181,0.202,-115.1,527,mundo
273,ventana,0.972,-0.872,5.398,0.591,0.963,0.228,0.109,161.6,1584,mundo
273,silla,0.939,-0.846,5.23,0.223,0.367,0.267,0.403,-140.0,874,mundo
273,silla,0.92,-1.369,2.217,0.037,0.229,0.205,0.37,-163.1,1566,mundo
276,ventana,0.967,-0.854,5.441,0.586,0.882,0.184,0.223,172.3,1412,mundo
276,silla,0.909,-0.85,5.178,0.246,0.342,0.306,0.403,22.9,981,mundo
276,silla,0.79,-1.373,2.264,0.154,0.288,0.142,0.254,-59.5,1413,mundo
279,ventana,0.962,-0.843,5.408,0.591,0.857,0.203,0.169,171.8,1558,mundo
279,silla,0.883,-1.403,2.608,-0.028,0.446,0.238,0.456,142.2,1870,mundo
279,silla,0.879,-1.039,5.382,-0.329,0.381,0.195,0.171,-132.4,489,mundo
282,ventana,0.964,-0.844,5.391,0.605,0.734,0.215,0.161,173.0,1239,mundo
282,silla,0.955,-1.089,5.312,-0.229,0.465,0.26,0.171,-178.4,737,mundo
282,silla,0.685,-1.341,2.229,-0.013,0.202,0.198,0.517,-170.2,1535,mundo
285,ventana,0.952,-0.838,5.37,0.584,0.751,0.193,0.261,-178.6,1651,mundo
285,silla,0.922,-1.051,5.257,-0.193,0.384,0.295,0.131,-176.5,526,mundo
285,silla,0.622,-1.365,2.549,-0.088,0.298,0.317,0.565,159.0,2056,mundo
288,silla,0.941,-1.147,5.295,-0.444,0.262,0.118,0.145,-133.6,242,mundo
288,ventana,0.94,-0.846,5.403,0.588,0.789,0.2,0.196,174.4,1431,mundo
288,silla,0.735,-1.399,2.247,-0.008,0.35,0.151,0.596,161.2,1937,mundo
291,silla,0.934,-0.819,5.149,0.166,0.271,0.288,0.264,-109.1,664,mundo
291,ventana,0.932,0.777,5.725,1.093,0.777,0.107,0.455,88.8,934,mundo
291,silla,0.48,-1.354,2.526,0.016,0.396,0.211,0.372,-95.8,1952,mundo
294,silla,0.929,-1.154,5.256,-0.333,0.48,0.131,0.163,-108.5,550,mundo
294,ventana,0.925,-0.841,5.407,0.556,0.847,0.235,0.217,177.3,1549,mundo
294,silla,0.601,-1.358,2.572,0.011,0.454,0.204,0.348,-91.5,1553,mundo
297,ventana,0.92,-0.844,5.394,0.576,0.855,0.232,0.239,175.1,1661,mundo
297,silla,0.916,-0.856,5.201,0.293,0.267,0.066,0.229,-174.4,447,mundo
297,silla,0.654,-1.338,2.409,0.061,0.413,0.112,0.457,-88.9,2031,mundo
300,silla,0.932,-0.746,5.097,0.103,0.207,0.12,0.149,-55.4,368,mundo
300,ventana,0.924,-0.738,5.356,0.601,0.635,0.222,0.202,175.2,1471,mundo
300,silla,0.442,-1.351,2.27,-0.065,0.173,0.095,0.58,-52.1,1197,mundo
303,silla,0.933,-1.315,5.135,-0.409,0.219,0.081,0.215,-89.2,327,mundo
303,ventana,0.918,-1.325,5.946,1.145,0.974,0.102,0.185,105.3,1172,mundo
306,silla,0.939,-0.739,5.083,0.125,0.161,0.097,0.141,-85.9,326,mundo
306,ventana,0.917,-0.857,5.43,0.586,0.848,0.222,0.213,174.6,1653,mundo
309,ventana,0.914,-0.856,5.426,0.573,0.86,0.229,0.264,176.7,1500,mundo
309,silla,0.913,-0.885,5.179,0.266,0.438,0.075,0.3,177.1,607,mundo
312,ventana,0.944,-0.778,5.391,0.61,0.702,0.246,0.315,-176.7,1277,mundo
312,silla,0.918,-1.042,5.388,-0.263,0.531,0.377,0.323,-15.3,1026,mundo
312,silla,0.456,-1.364,2.52,-0.093,0.594,0.223,0.59,-86.4,3476,mundo
315,ventana,0.943,-0.88,5.498,0.595,0.85,0.204,0.36,176.8,1474,mundo
315,silla,0.922,-0.805,5.262,0.292,0.344,0.125,0.207,137.8,549,mundo
318,ventana,0.925,-0.861,5.47,0.588,0.934,0.197,0.345,172.6,1504,mundo
318,silla,0.91,-1.077,5.499,-0.389,0.275,0.157,0.341,158.4,527,mundo
321,ventana,0.928,-1.105,5.642,0.866,1.389,0.721,0.445,161.7,2901,mundo
321,silla,0.927,-1.053,5.367,-0.174,0.338,0.253,0.297,8.1,564,mundo
324,ventana,0.936,-0.873,5.464,0.592,0.935,0.211,0.334,171.0,1754,mundo
324,silla,0.924,-0.809,5.142,0.211,0.515,0.265,0.466,-136.4,1279,mundo
327,ventana,0.966,-0.966,5.591,0.688,1.198,0.617,0.479,167.0,2704,mundo
327,silla,0.916,-0.887,5.208,0.273,0.477,0.093,0.353,173.6,903,mundo
330,ventana,0.954,-1.254,5.684,1.009,1.041,0.353,0.536,-173.5,1456,mundo
330,silla,0.905,-0.878,5.211,0.288,0.407,0.077,0.365,170.8,854,mundo
330,mesa,0.433,-1.369,2.535,-0.162,0.27,0.179,0.728,-148.7,2049,mundo
333,ventana,0.961,-1.13,5.648,0.85,1.34,0.705,0.456,162.2,2960,mundo
333,silla,0.927,-0.912,5.203,0.289,0.455,0.08,0.383,175.3,886,mundo
333,mesa,0.665,-1.386,2.571,0.009,0.243,0.126,0.385,-153.0,1439,mundo
336,silla,0.936,-0.904,5.201,0.275,0.433,0.081,0.348,175.5,824,mundo
336,ventana,0.927,-0.887,5.46,0.599,0.862,0.214,0.296,171.6,1447,mundo
336,mesa,0.739,-1.386,2.593,-0.118,0.223,0.27,0.645,-139.7,2117,mundo
339,silla,0.944,-0.884,5.207,0.285,0.455,0.065,0.369,178.2,670,mundo
339,ventana,0.933,-1.304,5.844,1.085,0.901,0.117,0.19,84.7,1418,mundo
339,mesa,0.515,-1.357,2.6,-0.143,0.218,0.186,0.694,-65.7,1962,mundo
342,silla,0.939,-0.866,5.223,0.288,0.35,0.209,0.276,178.1,878,mundo
342,ventana,0.929,-1.247,5.705,0.977,1.139,0.34,0.394,133.2,1652,mundo
342,mesa,0.509,-1.367,2.654,-0.164,0.35,0.182,0.726,-66.4,2310,mundo
345,ventana,0.938,-1.261,5.726,0.971,1.053,0.297,0.35,130.1,1728,mundo
345,silla,0.92,-1.292,5.118,-0.314,0.415,0.133,0.241,-65.7,559,mundo
345,mesa,0.45,-1.393,2.551,-0.126,0.29,0.28,0.639,-179.8,2096,mundo
348,ventana,0.952,-1.121,5.589,0.832,1.282,0.698,0.557,174.2,2928,mundo
348,silla,0.914,-1.081,5.31,-0.338,0.496,0.248,0.385,73.5,928,mundo
351,ventana,0.949,-0.877,5.462,0.603,0.894,0.169,0.39,173.0,1817,mundo
351,silla,0.921,-1.107,5.319,-0.143,0.395,0.256,0.156,-80.0,936,mundo
351,mesa,0.424,-1.292,2.563,-0.064,0.255,0.073,0.511,-90.9,1648,mundo
354,ventana,0.959,-0.895,5.492,0.629,0.937,0.313,0.478,172.2,1775,mundo
354,silla,0.908,-0.74,5.074,0.126,0.2,0.14,0.26,-40.3,511,mundo
354,mesa,0.517,-1.321,2.664,-0.038,0.442,0.123,0.484,-68.9,1998,mundo
357,ventana,0.952,-1.24,5.65,0.978,0.986,0.29,0.46,178.3,1653,mundo
357,silla,0.893,-1.143,5.272,-0.039,0.321,0.25,0.095,-117.7,528,mundo
357,mesa,0.499,-1.372,2.726,-0.024,0.382,0.105,0.457,-54.5,1442,mundo
360,ventana,0.94,-1.229,5.732,0.942,1.06,0.316,0.306,120.8,1524,mundo
360,silla,0.858,-0.977,5.273,-0.167,0.388,0.093,0.204,-38.1,465,mundo
360,mesa,0.447,-1.342,2.675,-0.058,0.302,0.152,0.527,-68.1,1887,mundo
363,ventana,0.938,-0.887,5.492,0.608,0.757,0.232,0.672,-165.3,1977,mundo
363,silla,0.877,-1.053,5.325,-0.102,0.347,0.229,0.33,-177.6,646,mundo
363,mesa,0.453,-2.447,3.536,-0.573,0.525,0.064,0.229,127.4,866,mundo
366,silla,0.947,-0.971,5.121,0.114,0.4,0.225,0.445,-49.5,664,mundo
366,ventana,0.946,-0.87,5.487,0.606,0.822,0.194,0.529,-172.8,1737,mundo
369,silla,0.953,-0.886,5.135,0.239,0.502,0.161,0.562,127.3,1146,mundo
369,ventana,0.948,-1.123,5.554,0.837,1.255,0.73,0.51,170.7,3469,mundo
372,ventana,0.947,-0.898,5.499,0.603,0.834,0.266,0.486,-171.4,2019,mundo
372,silla,0.944,-0.851,5.306,0.331,0.311,0.106,0.25,175.6,526,mundo
372,silla,0.468,0.833,3.108,-0.508,0.337,0.029,0.205,-98.0,768,mundo
375,ventana,0.942,-0.897,5.458,0.596,0.821,0.265,0.532,-172.0,1981,mundo
375,silla,0.936,-1.067,5.499,-0.383,0.478,0.181,0.194,169.7,663,mundo
375,silla,0.442,-1.376,2.756,0.137,0.052,0.029,0.105,-108.4,166,mundo
378,silla,0.966,-1.117,5.494,-0.107,0.364,0.191,0.208,144.7,617,mundo
378,ventana,0.953,-0.869,5.404,0.594,0.867,0.208,0.496,179.0,1629,mundo
381,silla,0.968,-0.981,5.007,0.078,0.652,0.246,0.389,178.2,895,mundo
381,ventana,0.95,-1.222,5.619,0.952,1.043,0.297,0.461,141.6,1521,mundo
381,silla,0.687,0.458,2.696,-0.234,0.47,0.125,0.541,-96.2,1526,mundo
384,silla,0.976,-1.029,5.227,-0.136,0.445,0.174,0.292,148.7,1032,mundo
384,ventana,0.952,-1.234,5.719,0.957,0.934,0.224,0.305,131.3,1498,mundo
384,silla,0.639,0.466,2.774,-0.246,0.377,0.133,0.514,-99.6,1464,mundo
387,silla,0.966,-1.314,5.185,-0.385,0.196,0.126,0.243,-118.8,259,mundo
387,ventana,0.944,-0.707,5.259,0.603,0.57,0.228,0.237,178.9,1498,mundo
387,silla,0.594,0.468,2.789,-0.297,0.369,0.134,0.411,-102.7,1530,mundo
390,ventana,0.961,-1.232,5.681,0.942,0.909,0.26,0.29,156.9,1711,mundo
390,silla,0.945,-1.047,5.232,-0.129,0.431,0.209,0.248,170.1,759,mundo
390,silla,0.558,0.437,2.717,0.077,0.5,0.094,0.327,-88.5,1135,mundo
393,silla,0.939,-0.977,5.051,0.177,0.582,0.271,0.302,159.8,887,mundo
393,ventana,0.937,-0.731,5.282,0.618,0.526,0.199,0.261,-172.7,1207,mundo
393,silla,0.52,0.545,2.981,-0.386,0.558,0.247,0.166,-90.5,947,mundo
393,mesa,0.4,-1.483,2.81,-0.511,0.514,0.104,0.11,141.9,698,mundo
396,ventana,0.935,-0.723,5.277,0.618,0.544,0.198,0.182,-172.4,1364,mundo
396,silla,0.904,-1.072,5.319,-0.122,0.325,0.178,0.269,165.0,801,mundo
396,silla,0.536,0.562,2.96,-0.497,0.851,0.035,0.133,-100.8,760,mundo
399,ventana,0.941,-0.716,5.265,0.622,0.534,0.217,0.187,178.1,1287,mundo
399,silla,0.903,-0.942,5.043,0.15,0.56,0.268,0.27,-174.4,977,mundo
399,silla,0.581,0.446,2.818,-0.339,0.352,0.065,0.327,-105.0,1004,mundo
402,ventana,0.936,-0.718,5.268,0.6,0.541,0.186,0.26,178.4,1318,mundo
402,silla,0.886,-0.95,5.035,0.136,0.591,0.246,0.286,-177.8,1251,mundo
402,silla,0.668,0.466,2.897,-0.366,0.222,0.057,0.267,-118.8,761,mundo
405,ventana,0.936,-0.729,5.281,0.615,0.551,0.205,0.233,177.3,1428,mundo
405,silla,0.87,-0.969,5.038,0.064,0.624,0.24,0.448,-177.8,1263,mundo
405,silla,0.43,0.425,2.656,0.128,0.382,0.083,0.225,-86.4,807,mundo
408,ventana,0.925,-0.717,5.247,0.611,0.578,0.186,0.219,171.3,1367,mundo
408,silla,0.904,-0.949,5.015,0.15,0.57,0.235,0.276,-176.8,1398,mundo
408,silla,0.605,0.466,2.807,-0.299,0.327,0.114,0.414,-101.5,1335,mundo
411,ventana,0.94,-0.725,5.277,0.614,0.547,0.196,0.318,172.4,1363,mundo
411,silla,0.902,-0.998,5.055,-0.051,0.7,0.278,0.685,175.9,1732,mundo
411,silla,0.614,0.476,2.794,-0.306,0.332,0.125,0.407,-102.3,1201,mundo
414,ventana,0.942,-0.724,5.29,0.618,0.538,0.2,0.282,176.2,1452,mundo
414,silla,0.901,-0.962,5.073,0.102,0.608,0.312,0.378,179.3,1325,mundo
414,silla,0.516,0.427,2.674,0.121,0.42,0.074,0.24,-88.2,820,mundo
417,silla,0.943,-0.972,5.038,0.122,0.579,0.249,0.324,-176.4,1229,mundo
417,ventana,0.936,-0.71,5.278,0.601,0.537,0.215,0.234,178.4,1423,mundo
417,silla,0.616,0.433,2.684,0.113,0.442,0.084,0.256,-90.6,1046,mundo
420,silla,0.948,-0.975,5.019,0.119,0.587,0.234,0.329,-174.9,982,mundo
420,ventana,0.94,-0.718,5.294,0.595,0.564,0.245,0.267,-176.3,1628,mundo
420,silla,0.628,0.483,2.83,-0.296,0.231,0.136,0.413,-83.4,1202,mundo
423,ventana,0.942,-0.763,5.298,0.624,0.59,0.208,0.241,-178.1,1551,mundo
423,silla,0.931,-0.965,5.037,0.125,0.606,0.244,0.318,-179.7,1232,mundo
426,silla,0.948,-0.97,5.037,0.117,0.619,0.224,0.305,178.3,1405,mundo
426,ventana,0.941,-0.731,5.291,0.626,0.531,0.209,0.223,170.8,1552,mundo
426,silla,0.578,0.479,2.843,-0.297,0.23,0.108,0.418,-91.7,1034,mundo
429,silla,0.965,-0.971,5.074,0.094,0.609,0.285,0.366,175.2,1274,mundo
429,ventana,0.937,-0.739,5.249,0.625,0.54,0.204,0.164,164.7,1363,mundo
432,silla,0.966,-1.069,5.066,-0.123,0.627,0.263,0.795,164.6,1699,mundo
432,ventana,0.926,-0.732,5.269,0.613,0.551,0.18,0.207,166.5,1488,mundo
435,silla,0.966,-0.972,5.053,0.108,0.626,0.274,0.361,173.0,1226,mundo
435,ventana,0.915,-0.735,5.268,0.618,0.565,0.193,0.222,160.5,1483,mundo
438,silla,0.972,-0.97,5.047,0.157,0.605,0.279,0.25,176.9,1116,mundo
438,ventana,0.918,-0.738,5.254,0.611,0.562,0.163,0.257,161.6,1439,mundo
438,mesa,0.494,1.504,5.54,1.115,0.719,0.326,0.686,-153.8,2679,mundo
441,silla,0.97,-1.073,5.016,-0.137,0.659,0.213,0.801,159.7,1619,mundo
441,ventana,0.906,-0.693,5.228,0.612,0.512,0.156,0.255,165.6,1244,mundo
441,mesa,0.587,1.507,5.452,1.103,0.474,0.28,0.661,-174.0,3363,mundo
444,silla,0.962,-0.975,5.045,0.018,0.63,0.274,0.527,173.9,1228,mundo
444,ventana,0.911,-0.727,5.281,0.624,0.581,0.192,0.279,169.7,1618,mundo
447,silla,0.966,-0.971,5.036,0.12,0.658,0.263,0.329,170.1,1539,mundo
447,ventana,0.925,-0.729,5.265,0.622,0.574,0.186,0.237,169.7,1590,mundo
450,silla,0.964,-0.973,5.039,0.036,0.662,0.319,0.478,170.4,1517,mundo
450,ventana,0.922,-0.708,5.249,0.611,0.579,0.169,0.232,175.3,1361,mundo
450,mesa,0.477,1.458,5.495,1.017,0.607,0.312,0.718,-174.8,3984,mundo
453,silla,0.962,-1.142,5.467,-0.093,0.369,0.139,0.254,179.8,1222,mundo
453,ventana,0.925,-0.715,5.271,0.615,0.579,0.178,0.265,175.4,1634,mundo
453,mesa,0.487,1.498,5.454,0.994,0.494,0.327,0.647,-176.9,3524,mundo
456,silla,0.968,-0.971,5.063,0.145,0.605,0.328,0.251,175.0,1343,mundo
456,ventana,0.915,-0.724,5.299,0.62,0.548,0.192,0.281,174.8,1682,mundo
456,mesa,0.514,1.518,5.475,0.965,0.654,0.356,0.742,-167.7,3814,mundo
459,silla,0.973,-0.979,5.081,0.138,0.609,0.34,0.269,177.8,1511,mundo
459,ventana,0.911,-0.71,5.262,0.6,0.566,0.217,0.186,177.4,1636,mundo
459,mesa,0.414,1.486,5.465,0.999,0.534,0.333,0.625,-178.5,3620,mundo
462,silla,0.968,-0.983,5.083,0.154,0.611,0.307,0.263,-179.2,1469,mundo
462,ventana,0.913,-0.722,5.237,0.613,0.541,0.172,0.236,176.0,1577,mundo
465,silla,0.967,-0.935,5.04,0.148,0.494,0.217,0.273,-169.8,1172,mundo
465,ventana,0.911,-0.708,5.255,0.585,0.557,0.203,0.259,175.9,1852,mundo
465,mesa,0.427,1.588,5.497,0.991,0.409,0.504,0.623,-51.0,3833,mundo
468,silla,0.97,-0.973,5.093,0.165,0.612,0.306,0.249,179.7,1266,mundo
468,ventana,0.918,-0.72,5.26,0.601,0.562,0.186,0.29,175.0,1949,mundo
471,silla,0.97,-0.978,5.089,0.147,0.617,0.286,0.275,179.3,1597,mundo
471,ventana,0.912,-0.727,5.221,0.612,0.566,0.168,0.273,176.3,1610,mundo
474,silla,0.966,-1.02,5.043,0.043,0.567,0.203,0.456,173.6,948,mundo
474,ventana,0.913,-0.724,5.254,0.603,0.556,0.188,0.316,175.4,1888,mundo
477,silla,0.925,-0.977,5.067,0.047,0.62,0.265,0.476,177.8,1534,mundo
477,ventana,0.917,-0.699,5.269,0.585,0.563,0.216,0.29,175.9,1852,mundo
480,silla,0.932,-0.986,5.029,0.023,0.632,0.265,0.52,176.6,1601,mundo
480,ventana,0.912,-0.706,5.284,0.566,0.596,0.225,0.305,173.8,2089,mundo
483,silla,0.922,-0.979,5.053,0.13,0.638,0.268,0.305,176.8,1428,mundo
483,ventana,0.906,-0.709,5.297,0.579,0.573,0.228,0.299,178.0,2259,mundo
486,silla,0.923,-1.03,5.062,-0.127,0.721,0.308,0.812,170.2,2479,mundo
486,ventana,0.909,-0.713,5.29,0.58,0.548,0.226,0.321,176.8,2010,mundo
489,silla,0.931,-0.989,5.023,0.142,0.566,0.26,0.301,-177.0,1095,mundo
489,ventana,0.906,-0.706,5.254,0.579,0.562,0.223,0.376,175.6,2380,mundo
492,silla,0.939,-0.967,5.04,0.125,0.619,0.267,0.308,179.6,1580,mundo
492,ventana,0.898,-0.727,5.242,0.586,0.538,0.167,0.36,175.7,2119,mundo
495,silla,0.935,-0.952,5.016,0.159,0.588,0.253,0.254,-173.7,1515,mundo
495,ventana,0.891,-0.716,5.233,0.576,0.561,0.204,0.389,173.6,2248,mundo
498,silla,0.933,-0.967,5.038,0.14,0.613,0.275,0.282,-176.5,1898,mundo
498,ventana,0.865,-0.706,5.236,0.57,0.556,0.202,0.36,171.9,2263,mundo
501,silla,0.938,-0.958,5.019,0.157,0.603,0.298,0.272,-174.8,1740,mundo
501,ventana,0.897,-0.702,5.231,0.583,0.512,0.159,0.354,173.0,1961,mundo
504,silla,0.939,-1.002,5.03,-0.113,0.702,0.325,0.806,176.6,2458,mundo
504,ventana,0.899,-0.712,5.245,0.585,0.513,0.194,0.35,176.0,2146,mundo
504,mesa,0.429,1.424,5.507,0.974,0.622,0.272,0.548,172.6,4479,mundo
507,silla,0.94,-0.967,5.008,0.134,0.57,0.269,0.304,-170.1,1640,mundo
507,ventana,0.901,-0.719,5.264,0.582,0.547,0.19,0.31,174.8,2306,mundo
510,silla,0.947,-0.965,4.999,0.12,0.56,0.226,0.34,-166.2,947,mundo
510,ventana,0.895,-0.721,5.273,0.578,0.547,0.194,0.303,175.4,2210,mundo
513,silla,0.948,-0.94,4.968,0.138,0.606,0.203,0.279,-179.9,1542,mundo
513,ventana,0.888,-0.719,5.266,0.566,0.547,0.206,0.307,173.9,2220,mundo
513,mesa,0.502,1.5,5.473,0.967,0.356,0.2,0.514,147.5,4042,mundo
516,silla,0.943,-1.003,4.991,-0.119,0.74,0.293,0.816,171.2,2306,mundo
516,ventana,0.892,-0.718,5.269,0.612,0.533,0.19,0.284,170.4,2241,mundo
516,mesa,0.592,1.41,5.512,0.958,0.587,0.2,0.507,162.2,4315,mundo
519,silla,0.934,-0.957,4.982,0.133,0.591,0.255,0.31,-177.2,1581,mundo
519,ventana,0.867,-0.708,5.233,0.573,0.559,0.207,0.284,175.4,2079,mundo
519,mesa,0.526,1.417,5.528,0.96,0.584,0.164,0.493,162.9,4127,mundo
522,silla,0.935,-0.948,5.001,0.161,0.589,0.289,0.275,-178.8,1566,mundo
522,ventana,0.882,-0.716,5.265,0.567,0.538,0.227,0.323,176.1,2343,mundo
522,mesa,0.643,1.409,5.524,0.947,0.579,0.146,0.508,164.2,3978,mundo
525,silla,0.939,-1.051,5.307,-0.49,0.66,0.163,0.601,149.8,1235,mundo
525,ventana,0.871,-0.724,5.281,0.605,0.524,0.19,0.318,175.2,2349,mundo
525,mesa,0.434,1.509,5.474,0.941,0.343,0.162,0.467,155.8,3523,mundo
528,silla,0.939,-0.955,5.007,0.15,0.606,0.32,0.275,-179.2,1573,mundo
528,ventana,0.868,-0.706,5.259,0.586,0.53,0.173,0.357,171.6,1935,mundo
528,mesa,0.464,1.405,5.491,0.92,0.576,0.17,0.442,165.6,3707,mundo
531,silla,0.941,-0.969,5.022,0.162,0.555,0.251,0.262,-160.2,1031,mundo
531,ventana,0.868,-0.716,5.265,0.587,0.544,0.201,0.318,171.5,2114,mundo
531,mesa,0.442,1.436,5.448,0.882,0.456,0.221,0.366,159.1,2687,mundo
534,silla,0.908,-0.987,5.058,0.159,0.552,0.35,0.259,-177.2,1104,mundo
534,ventana,0.865,-0.688,5.264,0.587,0.546,0.225,0.312,170.7,2454,mundo
534,mesa,0.565,1.073,5.586,0.648,0.49,0.382,0.881,-164.5,3256,mundo
537,silla,0.912,-0.996,5.031,0.103,0.582,0.3,0.362,-177.9,1383,mundo
537,ventana,0.843,-0.713,5.219,0.588,0.536,0.207,0.277,162.6,2005,mundo
537,mesa,0.66,1.088,5.622,0.604,0.459,0.278,0.771,-158.4,2399,mundo
540,silla,0.93,-0.95,4.972,0.133,0.623,0.21,0.282,179.1,1714,mundo
540,mesa,0.863,1.084,5.599,0.64,0.46,0.252,0.839,-164.3,2984,mundo
540,ventana,0.786,-0.691,5.251,0.59,0.553,0.221,0.267,169.6,2128,mundo
543,silla,0.945,-0.945,4.999,0.138,0.631,0.234,0.272,175.5,1670,mundo
543,mesa,0.908,1.427,5.442,0.843,0.337,0.158,0.383,153.7,2473,mundo
543,ventana,0.751,-0.697,5.215,0.59,0.567,0.22,0.214,162.3,2095,mundo
546,silla,0.932,-0.952,4.985,0.144,0.632,0.2,0.272,174.9,1654,mundo
546,mesa,0.89,1.495,5.406,0.847,0.328,0.18,0.349,159.5,2688,mundo
546,ventana,0.88,-0.681,5.23,0.588,0.537,0.238,0.233,171.6,1927,mundo
549,silla,0.949,-0.966,4.971,0.123,0.633,0.2,0.309,174.9,1852,mundo
549,mesa,0.919,1.022,5.465,0.527,0.708,0.374,0.942,-102.8,2767,mundo
549,ventana,0.901,-0.701,5.255,0.6,0.518,0.206,0.312,169.0,2205,mundo
552,mesa,0.923,1.402,5.363,0.816,0.494,0.254,0.439,169.7,3418,mundo
552,silla,0.911,-0.964,4.975,0.149,0.658,0.176,0.252,173.6,1980,mundo
552,ventana,0.79,-0.225,5.767,0.812,0.593,0.328,0.12,154.9,1186,mundo
555,silla,0.913,-0.959,4.97,0.118,0.645,0.166,0.322,175.5,1691,mundo
555,mesa,0.895,1.496,5.356,0.84,0.323,0.214,0.368,172.6,3246,mundo
555,ventana,0.818,-0.708,5.195,0.606,0.502,0.163,0.248,167.3,2038,mundo
558,silla,0.93,-0.946,4.995,0.117,0.662,0.251,0.326,173.0,2030,mundo
558,mesa,0.905,1.446,5.381,0.838,0.43,0.243,0.393,170.3,3417,mundo
558,ventana,0.729,-0.707,5.221,0.601,0.511,0.18,0.208,175.0,1909,mundo
561,silla,0.933,-0.988,5.015,-0.119,0.745,0.257,0.797,168.7,2684,mundo
561,mesa,0.884,1.524,5.421,0.854,0.31,0.161,0.371,170.7,3095,mundo
561,ventana,0.662,0.697,5.667,0.903,0.414,0.113,0.129,132.0,1500,mundo
564,silla,0.939,-0.95,4.985,0.159,0.634,0.221,0.242,171.9,1885,mundo
564,mesa,0.891,1.42,5.437,0.795,0.501,0.127,0.425,168.2,3374,mundo
564,ventana,0.761,-0.695,5.174,0.595,0.524,0.2,0.196,174.2,1843,mundo
567,silla,0.944,-0.963,4.977,0.13,0.664,0.207,0.32,173.7,1969,mundo
567,mesa,0.873,1.494,5.431,0.831,0.282,0.101,0.363,165.3,2899,mundo
567,ventana,0.794,-0.722,5.192,0.598,0.611,0.205,0.312,159.8,2200,mundo
570,silla,0.949,-0.995,4.961,-0.123,0.717,0.221,0.813,168.9,2754,mundo
570,mesa,0.903,1.518,5.436,0.833,0.325,0.168,0.348,166.1,3263,mundo
570,ventana,0.724,-0.719,5.211,0.585,0.592,0.215,0.283,167.6,2276,mundo
573,silla,0.941,-0.999,4.961,-0.113,0.717,0.224,0.803,168.9,2633,mundo
573,mesa,0.89,1.536,5.452,0.836,0.334,0.181,0.333,170.4,3050,mundo
573,ventana,0.679,-0.692,5.244,0.578,0.608,0.214,0.345,169.6,2496,mundo
576,silla,0.945,-1.0,4.965,-0.124,0.725,0.22,0.809,171.0,2503,mundo
576,mesa,0.903,1.502,5.476,0.822,0.384,0.156,0.344,172.2,3043,mundo
576,ventana,0.654,-0.691,5.239,0.569,0.598,0.205,0.361,169.9,2307,mundo
579,silla,0.946,-0.953,4.964,0.158,0.594,0.222,0.269,176.7,1790,mundo
579,mesa,0.922,1.455,5.478,0.811,0.413,0.092,0.327,172.5,2744,mundo
579,ventana,0.841,-0.706,5.251,0.566,0.549,0.192,0.356,171.4,2215,mundo
582,silla,0.935,-1.216,5.031,-0.148,0.26,0.114,0.77,147.5,1281,mundo
582,mesa,0.934,1.547,5.51,0.822,0.28,0.161,0.295,166.0,2546,mundo
582,ventana,0.826,-0.699,5.223,0.586,0.544,0.218,0.356,168.3,2436,mundo
585,silla,0.944,-0.97,4.965,0.159,0.592,0.206,0.238,-178.9,1641,mundo
585,mesa,0.928,1.454,5.528,0.774,0.514,0.132,0.371,171.5,2957,mundo
585,ventana,0.763,-0.707,5.24,0.605,0.529,0.208,0.344,169.1,1935,mundo
588,silla,0.955,-1.008,5.009,-0.116,0.688,0.265,0.795,175.6,2609,mundo
588,mesa,0.923,1.571,5.55,0.813,0.342,0.172,0.299,171.2,2647,mundo
588,ventana,0.561,-0.718,5.2,0.613,0.548,0.183,0.249,168.7,1920,mundo
591,silla,0.953,-0.972,4.972,0.133,0.576,0.234,0.299,-177.9,1922,mundo
591,mesa,0.915,1.61,5.574,0.813,0.427,0.246,0.297,-174.1,2634,mundo
591,ventana,0.742,-0.697,5.234,0.569,0.578,0.237,0.299,171.7,2279,mundo
594,silla,0.95,-0.983,4.947,0.153,0.563,0.187,0.252,178.6,1166,mundo
594,mesa,0.919,1.641,5.575,0.796,0.504,0.222,0.28,-161.9,2389,mundo
594,ventana,0.551,-0.688,5.246,0.587,0.588,0.186,0.294,171.7,2091,mundo
597,silla,0.93,-0.953,4.962,0.155,0.568,0.233,0.255,-177.0,1741,mundo
597,mesa,0.899,1.593,5.573,0.795,0.603,0.246,0.275,-166.1,2677,mundo
597,ventana,0.556,-0.704,5.23,0.596,0.536,0.204,0.251,172.5,2123,mundo
600,mesa,0.948,1.602,5.54,0.796,0.391,0.184,0.275,-175.9,2845,mundo
600,silla,0.933,-0.966,4.963,0.154,0.603,0.199,0.253,-178.5,1708,mundo
600,ventana,0.557,-0.702,5.248,0.612,0.539,0.188,0.328,174.6,1967,mundo
603,mesa,0.931,1.598,5.502,0.781,0.405,0.184,0.286,-178.4,2799,mundo
