epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,344.132,0.73497,1.37634,0.73473,0.9601,0,0.88105,0.90544,0.93717,0.8021,0.83266,0.85424,0.86327,0.63867,0.61526,2.00464,0.8619,0.92039,0,0.000512058,0.000512058,0.000512058
29,355.383,0.7424,1.48291,0.73968,0.96439,0,0.87229,0.90764,0.9286,0.78258,0.87475,0.84089,0.88152,0.64581,0.66312,1.8925,0.87579,0.95157,0,0.000502541,0.000502541,0.000502541
30,365.995,0.7416,1.46151,0.74112,0.96765,0,0.89322,0.88471,0.93836,0.79442,0.86984,0.82382,0.86925,0.63536,0.63657,1.78683,0.87009,0.93931,0,0.000493025,0.000493025,0.000493025
31,377.305,0.73279,1.3967,0.75456,0.96235,0,0.86721,0.90016,0.94564,0.80796,0.8742,0.79531,0.85614,0.62739,0.61335,2.11223,0.82942,0.93501,0,0.000483509,0.000483509,0.000483509
32,387.455,0.75224,1.38397,0.73947,0.97347,0,0.93306,0.89112,0.94805,0.80983,0.88039,0.83968,0.86696,0.63392,0.62923,2.0606,0.84169,0.93665,0,0.000473992,0.000473992,0.000473992
33,397.693,0.71733,1.41836,0.70856,0.95072,0,0.92004,0.89578,0.94363,0.79643,0.87399,0.85024,0.87452,0.62907,0.64205,2.0518,0.83195,0.95168,0,0.000464476,0.000464476,0.000464476
34,408.344,0.71854,1.43164,0.7107,0.9484,0,0.90823,0.86383,0.94316,0.79738,0.86931,0.82137,0.86438,0.62649,0.60584,1.9326,0.82053,0.92642,0,0.00045496,0.00045496,0.00045496
35,418.558,0.71404,1.37692,0.70312,0.95363,0,0.89861,0.90095,0.94684,0.80383,0.87006,0.84224,0.86497,0.64027,0.60112,1.76688,0.7997,0.91593,0,0.000445443,0.000445443,0.000445443
36,429.148,0.71392,1.35722,0.69593,0.96744,0,0.88244,0.91181,0.93641,0.80545,0.83969,0.86125,0.85186,0.63928,0.6115,1.81578,0.82328,0.92556,0,0.000435927,0.000435927,0.000435927
37,440.719,0.7315,1.4432,0.70264,0.9761,0,0.91691,0.89355,0.94477,0.80131,0.87968,0.85366,0.87511,0.6373,0.62087,1.53793,0.83167,0.93546,0,0.000426411,0.000426411,0.000426411
38,452.292,0.73771,1.42603,0.72207,0.96954,0,0.87083,0.91631,0.94167,0.79121,0.80827,0.87026,0.86066,0.65214,0.60251,2.0591,0.79873,0.90864,0,0.000416894,0.000416894,0.000416894
39,463.19,0.72872,1.34439,0.7089,0.96479,0,0.87565,0.91528,0.94156,0.80802,0.87079,0.82858,0.87833,0.64912,0.57739,2.0705,0.76402,0.90319,0,0.000407378,0.000407378,0.000407378
40,473.897,0.72939,1.4242,0.70011,0.96146,0,0.8927,0.92461,0.9367,0.80466,0.85552,0.8343,0.85166,0.62617,0.60182,1.90574,0.80113,0.91199,0,0.000397861,0.000397861,0.000397861
41,485.005,0.69412,1.32524,0.68371,0.94816,0,0.90609,0.89773,0.93956,0.81044,0.86471,0.85894,0.88163,0.65702,0.60143,1.88531,0.80485,0.92503,0,0.000388345,0.000388345,0.000388345
42,495.829,0.72485,1.4143,0.68859,0.96839,0,0.8948,0.90908,0.93812,0.80867,0.84961,0.86469,0.87246,0.64182,0.58904,1.89831,0.78026,0.92117,0,0.000378829,0.000378829,0.000378829
43,506.31,0.70558,1.42031,0.67174,0.95017,0,0.90096,0.90742,0.93741,0.80695,0.8515,0.85979,0.87287,0.64393,0.60652,1.9153,0.76229,0.93682,0,0.000369312,0.000369312,0.000369312
44,516.852,0.69041,1.33935,0.66316,0.94515,0,0.87905,0.92258,0.93519,0.80975,0.84059,0.88125,0.87034,0.65157,0.57694,2.04704,0.75419,0.91357,0,0.000359796,0.000359796,0.000359796
45,526.912,0.67849,1.32975,0.64697,0.93669,0,0.90556,0.8813,0.93722,0.81214,0.87991,0.82729,0.87355,0.66128,0.574,1.90787,0.75867,0.92469,0,0.00035028,0.00035028,0.00035028
46,537.99,0.67628,1.36704,0.64939,0.95227,0,0.86561,0.91453,0.9328,0.80492,0.9001,0.80947,0.86818,0.65051,0.55994,1.84088,0.72308,0.91788,0,0.000340763,0.000340763,0.000340763
47,548.156,0.70034,1.37353,0.67065,0.95645,0,0.90626,0.91198,0.9351,0.80943,0.87122,0.86406,0.86681,0.6487,0.56292,1.90547,0.71901,0.92081,0,0.000331247,0.000331247,0.000331247
48,558.5,0.68767,1.28632,0.64368,0.94361,0,0.91154,0.91811,0.9404,0.8178,0.86351,0.86806,0.86242,0.65649,0.56463,2.08476,0.70217,0.91499,0,0.00032173,0.00032173,0.00032173
49,569.44,0.69168,1.34785,0.64738,0.94664,0,0.86647,0.91116,0.93652,0.80259,0.86616,0.84025,0.87191,0.64374,0.57781,2.00124,0.72262,0.91759,0,0.000312214,0.000312214,0.000312214
50,579.416,0.66819,1.3445,0.63679,0.92818,0,0.89661,0.90489,0.9386,0.80153,0.85322,0.86007,0.87477,0.64319,0.60094,1.77672,0.7781,0.9171,0,0.000302698,0.000302698,0.000302698
